Date,JPM_Returns,JPM_Strategy,RY.TO_Returns,RY.TO_Strategy,8058.T_Returns,8058.T_Strategy,BA_Returns,BA_Strategy,LMT_Returns,LMT_Strategy,NVDA_Returns,NVDA_Strategy,MSFT.O_Returns,MSFT.O_Strategy,SAND.K_Returns,SAND.K_Strategy,VLO_Returns,VLO_Strategy,SIEGn.DE_Returns,SIEGn.DE_Strategy
2024-09-09,,,,,,,,,,,,,,,,,,,,
2024-09-10,-0.05328343183897055,0.05328343183897055,-0.00288046286535403,0.00288046286535403,0.0031501601129263674,-0.0031501601129263674,-0.017586681519471802,0.017586681519471802,-0.007625650657978072,0.007625650657978072,0.027103124236220875,-0.027103124236220875,0.02068568245368871,-0.02068568245368871,0.02695580998852808,-0.02695580998852808,0.014283314057272959,-0.014283314057272959,-0.0014771051430131042,0.0014771051430131042
2024-09-11,0.008091325425367337,-0.008091325425367337,0.0063499883891777005,-0.0063499883891777005,-0.028895035164474156,0.028895035164474156,0.007840737119446477,-0.007840737119446477,-0.009182349554444419,0.009182349554444419,0.07292715103519223,-0.07292715103519223,0.021117788261783055,-0.021117788261783055,0.0,-0.0,-0.02371946585302659,0.02371946585302659,-0.0013559324111360664,0.0013559324111360664
2024-09-12,-0.0030447308638580084,0.0030447308638580084,0.005478813133231972,-0.005478813133231972,0.024341612235767557,-0.024341612235767557,0.008886204725354358,-0.008886204725354358,0.002307903387802029,-0.002307903387802029,,,0.009317276005357816,-0.009317276005357816,0.06520319381076208,-0.06520319381076208,0.009137955878828187,-0.009137955878828187,0.013233865483661447,-0.013233865483661447
2024-09-13,-0.011097164401309015,0.011097164401309015,-0.0021403099728166996,0.0021403099728166996,-0.004926985156091879,0.004926985156091879,-0.03755839832296714,0.03755839832296714,0.002881795735264842,-0.002881795735264842,0.0057232835279574425,-0.0057232835279574425,0.008372348022774062,-0.008372348022774062,0.032682647430358404,-0.032682647430358404,0.0010432969125776675,-0.0010432969125776675,-0.0014618104686186112,0.0014618104686186112
2024-09-16,0.017177383876046507,-0.017177383876046507,-0.0026221707515607004,0.0026221707515607004,,,-0.007812539736793625,0.007812539736793625,0.005267637286596921,-0.005267637286596921,-0.005319161477599933,0.005319161477599933,0.0017402809724365456,-0.0017402809724365456,0.0032102756302481894,-0.0032102756302481894,-0.0038058327344894618,0.0038058327344894618,-0.007095698966604384,0.007095698966604384
2024-09-17,0.006664933209308939,-0.006664933209308939,-0.0031676803823748414,0.0031676803823748414,-0.0035341969990415854,0.0035341969990415854,0.005385664104477957,-0.005385664104477957,-0.010369150655133344,0.010369150655133344,-0.008684062202748932,0.008684062202748932,0.00879415701168752,-0.00879415701168752,-0.014528100562909744,0.014528100562909744,0.015210829348480004,-0.015210829348480004,0.021017599266711574,-0.021017599266711574
2024-09-18,-0.008253801836015724,0.008253801836015724,-0.0014377286368015873,0.0014377286368015873,-0.007819481819001838,0.007819481819001838,-0.00821834481146458,0.00821834481146458,-0.0026843283226694586,0.0026843283226694586,-0.02208759646400481,0.02208759646400481,-0.010023641595028616,0.010023641595028616,-0.02469261259037152,0.02469261259037152,0.006312874228036455,-0.006312874228036455,-0.0038544976655099563,0.0038544976655099563
2024-09-19,0.014114729198468259,-0.014114729198468259,0.0007191227013327022,-0.0007191227013327022,0.02849295810915243,-0.02849295810915243,-0.0033580916284169007,0.0033580916284169007,-0.0005483474537535664,0.0005483474537535664,,,0.01812585565140335,-0.01812585565140335,0.004987541511039188,-0.004987541511039188,0.014745137315611443,-0.014745137315611443,0.025028120844372833,-0.025028120844372833
2024-09-20,0.002893946085941847,-0.002893946085941847,-0.009812558040318152,0.009812558040318152,0.02364743501604999,-0.02364743501604999,-0.008444898830226632,0.008444898830226632,0.01185485697848825,-0.01185485697848825,0.007099737115223016,-0.007099737115223016,-0.007826485096194014,0.007826485096194014,0.02941388520629319,-0.02941388520629319,-0.030974469627353077,0.030974469627353077,-0.019371929099513286,0.019371929099513286
2024-09-23,0.0016566874780546894,-0.0016566874780546894,0.006392110047732409,-0.006392110047732409,,,0.019445685249415066,-0.019445685249415066,0.01490790605982944,-0.01490790605982944,-0.003315240697531258,0.003315240697531258,-0.004051664190420563,0.004051664190420563,0.003215436853974393,-0.003215436853974393,0.005340466631317504,-0.005340466631317504,0.005027542311060483,-0.005027542311060483
2024-09-24,0.0007091695921638381,-0.0007091695921638381,-0.0010224027352790873,0.0010224027352790873,0.002705903900313521,-0.002705903900313521,-0.003139921198167718,0.003139921198167718,-0.003243787029125932,0.003243787029125932,0.04286051140535208,-0.04286051140535208,-0.010061753175372987,0.010061753175372987,0.014342875359404282,-0.014342875359404282,-0.017612395559640528,0.017612395559640528,0.016813088447813686,-0.016813088447813686
2024-09-25,-0.006638556316308962,0.006638556316308962,0.0030640776173164797,-0.0030640776173164797,0.009078744267935297,-0.009078744267935297,-0.02331047339001776,0.02331047339001776,-0.0011931834335352591,0.0011931834335352591,0.02637308491352819,-0.02637308491352819,0.006827074631207908,-0.006827074631207908,-0.0015835316056443847,0.0015835316056443847,-7.529270040815939e-05,7.529270040815939e-05,0.012832653935497812,-0.012832653935497812
2024-09-26,-0.001952521038430804,0.001952521038430804,0.006457807661400363,-0.006457807661400363,0.02365114791113731,-0.02365114791113731,0.015384918839479456,-0.015384918839479456,-0.0009347898269297968,0.0009347898269297968,,,-0.0018530963585069932,0.0018530963585069932,-0.009554212804811611,0.009554212804811611,0.028283813891543875,-0.028283813891543875,0.05194800061876837,-0.05194800061876837
